Source Destination Bandwidth Latency
nb_commodities 50
90 9 1 7
18 19 2 7
49 15 2 6
42 24 3 6
55 29 3 9
3 89 3 6
36 38 3 7
8 4 1 6
31 47 3 9
5 53 1 12
31 36 3 9
7 43 3 9
29 19 3 3
93 25 3 6
34 57 2 6
30 53 1 10
94 73 2 9
39 96 2 4
90 58 2 6
52 29 3 4
29 77 2 7
77 41 3 10
60 31 2 4
64 91 1 9
34 47 2 10
45 9 3 9
80 60 2 9
70 60 3 9
1 95 3 9
75 81 3 7
29 54 3 3
12 29 1 9
77 34 3 10
49 75 1 7
64 22 2 9
25 45 3 3
7 1 3 12
8 94 2 4
63 26 3 6
45 31 3 9
94 62 3 10
84 46 3 4
4 32 3 9
22 33 1 6
31 67 3 6
36 68 3 6
47 19 2 7
11 15 3 7
27 10 3 7
54 82 1 4
