Source Destination Bandwidth Latency
nb_commodities 50
96 6 3 9
46 21 3 7
92 32 3 6
70 22 3 4
90 52 1 9
30 26 1 7
66 26 3 7
28 75 2 7
27 91 2 7
6 57 3 9
94 20 2 4
88 78 1 9
80 93 1 6
57 51 3 6
73 71 2 10
70 71 3 4
46 98 1 6
49 62 3 9
93 99 3 7
48 71 3 9
42 12 1 6
68 37 3 6
16 63 2 4
94 7 2 6
10 55 1 4
15 25 3 6
38 98 2 6
65 15 2 4
71 80 3 10
96 58 2 7
84 8 2 6
59 35 3 10
50 65 3 9
96 19 1 6
17 23 2 4
24 65 2 7
50 79 1 6
15 18 3 7
77 45 3 3
25 16 1 4
60 68 1 4
22 96 2 6
30 10 3 4
29 5 1 9
81 14 1 7
67 45 3 4
39 27 2 9
59 44 3 6
81 63 2 9
76 7 3 4
