Source Destination Bandwidth Latency
nb_commodities 50
5 18 2 21
20 8 3 13
20 11 1 10
16 21 1 15
14 0 1 13
19 3 3 9
16 14 2 15
18 16 1 12
9 24 2 16
0 1 2 9
2 3 1 12
6 9 1 16
22 17 3 13
3 8 1 9
21 14 2 16
3 20 1 18
17 12 3 13
4 6 1 9
4 21 1 16
4 9 3 18
7 3 2 13
17 10 2 12
2 16 2 9
0 18 2 15
18 0 3 15
6 19 2 12
9 22 1 9
8 4 3 10
7 11 3 13
16 19 2 12
13 6 3 12
10 13 3 7
4 2 2 7
19 12 2 13
17 2 3 10
14 7 2 12
21 18 3 16
7 22 2 15
22 7 2 15
4 15 1 15
15 14 2 10
11 4 3 13
3 23 3 16
20 0 1 16
21 6 1 15
24 6 1 7
5 16 3 19
8 6 1 12
11 15 2 13
23 8 2 9
