Source Destination Bandwidth Latency
nb_commodities 50
31 12 1 6
16 15 3 6
23 41 3 9
28 11 2 7
33 30 1 7
11 5 2 4
20 5 3 4
49 27 3 4
16 49 3 4
14 28 3 7
2 22 1 6
35 16 3 6
41 17 2 7
19 15 2 6
31 32 1 6
6 32 3 6
45 34 1 10
46 27 3 4
28 12 3 6
26 18 3 6
38 2 3 6
4 31 2 4
2 26 2 7
37 36 2 3
25 17 2 3
12 10 2 4
0 17 1 6
42 18 2 4
23 15 1 6
28 40 3 3
15 43 3 7
39 22 3 7
13 44 2 9
39 48 3 7
43 24 1 6
31 4 2 4
6 29 1 6
7 37 3 6
0 21 3 6
4 37 3 4
3 9 3 6
48 49 2 4
46 4 2 4
24 33 1 4
9 5 1 4
37 33 3 4
46 21 2 6
0 12 2 7
16 38 2 1
11 10 2 6
