Source Destination Bandwidth Latency
nb_commodities 50
28 75 3 3
24 8 2 4
0 33 3 4
43 4 2 3
13 53 2 6
94 68 3 6
81 69 2 6
8 51 3 6
1 63 2 4
5 58 2 6
98 0 3 6
3 35 3 6
19 39 3 6
1 6 3 4
73 77 3 7
83 51 2 1
79 25 2 4
49 46 1 4
10 79 3 6
52 89 3 4
0 99 3 6
74 65 3 4
18 50 1 6
75 19 1 4
72 96 2 3
61 76 3 6
49 3 1 6
81 25 2 4
91 30 3 6
68 28 2 6
63 37 3 6
58 4 3 7
1 9 3 3
11 86 1 6
5 84 1 4
51 95 3 4
40 97 1 3
65 8 1 6
26 64 3 4
63 31 2 7
33 39 2 3
40 83 1 4
24 17 2 6
20 53 2 6
1 66 3 4
99 69 1 3
54 76 1 4
48 52 2 4
71 3 1 6
0 53 2 6
