Source Destination Bandwidth Latency
nb_commodities 50
60 5 2 6
57 70 3 4
13 84 1 4
59 82 1 4
96 20 3 3
5 39 2 6
0 61 3 7
69 30 2 6
21 64 2 4
49 24 1 4
67 91 2 6
39 78 1 4
42 25 1 7
67 53 2 6
18 66 2 4
41 86 3 4
27 52 2 6
5 24 2 6
36 74 3 3
3 97 2 6
69 42 1 7
47 3 2 6
37 93 3 7
88 94 2 6
33 73 1 4
30 42 1 6
68 60 2 6
65 91 2 6
71 44 2 4
85 31 3 4
31 42 2 4
54 41 1 6
56 99 2 4
74 34 3 6
56 64 3 4
48 18 2 3
95 88 3 4
67 53 1 6
11 24 1 7
32 59 1 6
83 1 3 4
0 77 1 3
43 61 1 6
45 39 1 3
68 1 1 6
14 40 1 6
68 43 2 7
50 7 3 6
67 41 1 4
95 86 2 4
