Node_1 Node_2 Capacity_node1 Capacity_node2 Latency_arc node_cost
nb_nodes 50
nb_arcs 2236
0 1 2 5 16 697
0 2 2 1 11 697
0 3 2 1 2 697
0 4 2 3 12 697
0 5 2 4 6 697
0 6 2 3 4 697
0 7 2 5 4 697
0 8 2 1 22 697
0 9 2 5 11 697
0 10 2 2 22 697
0 12 2 4 6 697
0 13 2 4 2 697
0 14 2 3 11 697
0 15 2 5 14 697
0 16 2 2 11 697
0 17 2 5 4 697
0 18 2 5 20 697
0 19 2 1 6 697
0 20 2 5 17 697
0 21 2 2 1 697
0 23 2 1 17 697
0 24 2 4 8 697
0 25 2 4 5 697
0 26 2 2 4 697
0 27 2 3 19 697
0 28 2 2 20 697
0 29 2 4 8 697
0 31 2 4 16 697
0 32 2 5 18 697
0 33 2 5 22 697
0 34 2 4 22 697
0 35 2 4 25 697
0 36 2 1 17 697
0 37 2 4 14 697
0 38 2 5 20 697
0 39 2 3 24 697
0 40 2 2 23 697
0 41 2 1 20 697
0 42 2 3 5 697
0 44 2 3 7 697
0 45 2 3 18 697
0 46 2 1 22 697
0 47 2 5 2 697
0 48 2 2 18 697
0 49 2 5 6 697
1 0 5 2 16 65
1 3 5 1 2 65
1 4 5 3 4 65
1 5 5 4 20 65
1 6 5 3 4 65
1 7 5 5 15 65
1 8 5 1 17 65
1 9 5 5 1 65
1 10 5 2 5 65
1 11 5 1 19 65
1 12 5 4 5 65
1 13 5 4 18 65
1 14 5 3 11 65
1 15 5 5 14 65
1 16 5 2 5 65
1 17 5 5 18 65
1 18 5 5 6 65
1 19 5 1 1 65
1 20 5 5 22 65
1 21 5 2 23 65
1 22 5 4 10 65
1 23 5 1 5 65
1 24 5 4 16 65
1 25 5 4 10 65
1 26 5 2 9 65
1 27 5 3 11 65
1 28 5 2 19 65
1 29 5 4 3 65
1 31 5 4 12 65
1 32 5 5 9 65
1 33 5 5 16 65
1 34 5 4 1 65
1 35 5 4 14 65
1 36 5 1 6 65
1 37 5 4 2 65
1 38 5 5 9 65
1 39 5 3 9 65
1 40 5 2 13 65
1 41 5 1 18 65
1 42 5 3 10 65
1 43 5 4 4 65
1 44 5 3 1 65
1 45 5 3 20 65
1 46 5 1 23 65
1 47 5 5 9 65
1 48 5 2 7 65
1 49 5 5 3 65
2 0 1 2 11 854
