Source Destination Bandwidth Latency
nb_commodities 45
33 13 1 9
29 3 1 10
0 46 1 6
4 24 1 4
21 20 2 4
17 36 2 9
44 45 1 4
40 18 3 9
13 31 2 6
27 38 1 6
15 6 3 13
38 31 3 7
24 9 2 4
2 35 3 4
18 45 2 6
34 13 1 10
32 24 2 6
38 49 1 9
19 46 1 12
47 43 1 10
30 32 2 6
28 16 1 12
8 39 2 6
9 47 2 7
40 8 2 6
46 24 2 3
18 33 1 12
48 10 1 7
16 43 3 4
28 13 2 12
40 44 2 4
37 43 3 12
31 22 1 12
17 1 3 6
6 19 3 10
11 38 3 10
32 16 2 10
34 7 2 10
41 16 1 13
28 5 1 10
33 20 1 12
46 37 1 6
36 9 1 3
23 4 3 7
47 46 3 6
