Node_1 Node_2 Capacity_node1 Capacity_node2 Latency_arc node_cost
nb_nodes 100
nb_arcs 8954
0 2 4 2 24 492
0 3 4 3 5 492
0 4 4 4 11 492
0 5 4 2 11 492
0 6 4 4 2 492
0 7 4 4 20 492
0 8 4 4 7 492
0 9 4 2 21 492
0 10 4 1 23 492
0 11 4 1 7 492
0 12 4 4 18 492
0 13 4 1 18 492
0 14 4 2 15 492
0 16 4 2 1 492
0 17 4 3 23 492
0 18 4 4 7 492
0 19 4 1 4 492
0 20 4 4 3 492
0 22 4 2 24 492
0 23 4 4 1 492
0 24 4 3 9 492
0 25 4 3 25 492
0 26 4 2 10 492
0 27 4 1 9 492
0 28 4 3 20 492
0 29 4 1 24 492
0 30 4 2 1 492
0 31 4 2 17 492
0 32 4 4 8 492
0 33 4 2 9 492
0 34 4 2 14 492
0 36 4 3 3 492
0 37 4 2 19 492
0 38 4 4 25 492
0 39 4 4 2 492
0 40 4 3 7 492
0 41 4 3 18 492
0 42 4 3 9 492
0 43 4 2 25 492
0 45 4 1 21 492
0 46 4 2 9 492
0 47 4 3 6 492
0 48 4 1 8 492
0 49 4 1 3 492
0 50 4 2 12 492
0 52 4 1 5 492
0 53 4 1 8 492
0 54 4 4 8 492
0 55 4 1 8 492
0 56 4 2 10 492
0 57 4 1 16 492
0 58 4 1 16 492
0 59 4 2 19 492
0 60 4 1 1 492
0 61 4 4 11 492
0 62 4 2 11 492
0 63 4 2 7 492
0 64 4 1 21 492
0 65 4 1 1 492
0 67 4 1 10 492
0 68 4 1 15 492
0 69 4 4 11 492
0 70 4 4 9 492
0 71 4 1 5 492
0 72 4 2 17 492
0 73 4 2 4 492
0 74 4 4 13 492
0 75 4 2 24 492
0 77 4 2 20 492
0 78 4 1 23 492
0 79 4 3 10 492
0 80 4 3 17 492
0 81 4 3 23 492
0 82 4 3 18 492
0 83 4 1 13 492
0 84 4 3 9 492
0 85 4 4 6 492
0 86 4 4 10 492
0 88 4 2 22 492
0 89 4 3 13 492
0 90 4 3 19 492
0 91 4 3 9 492
0 92 4 3 9 492
0 93 4 4 21 492
0 94 4 3 4 492
0 95 4 2 24 492
0 96 4 2 11 492
0 97 4 4 8 492
0 98 4 2 1 492
0 99 4 2 25 492
1 2 1 2 13 570
1 3 1 3 16 570
1 4 1 4 17 570
1 5 1 2 10 570
1 6 1 4 18 570
1 7 1 4 7 570
1 8 1 4 3 570
1 9 1 2 7 570
1 10 1 1 23 570
1 11 1 1 21 570
1 12 1 4 8 570
1 13 1 1 19 570
