Source Destination Bandwidth Latency
nb_commodities 45
4 39 3 7
20 41 3 9
34 14 2 9
0 8 3 9
20 29 3 6
32 48 1 10
2 5 1 13
2 7 2 13
48 21 2 13
4 48 3 18
31 6 2 9
27 49 2 12
38 23 2 10
25 23 1 7
31 1 3 9
48 29 1 13
47 26 1 4
30 37 3 9
35 16 2 7
28 0 1 6
1 17 1 10
23 24 3 15
21 27 1 12
46 25 1 10
31 45 3 9
37 18 1 10
26 4 3 6
16 45 1 3
15 20 1 9
15 9 1 13
36 32 2 10
27 28 1 12
34 39 2 7
48 27 1 13
33 24 3 13
38 32 3 12
42 34 1 9
0 12 3 4
5 42 1 10
38 20 3 12
28 38 3 10
39 34 3 7
24 32 3 10
3 10 1 9
21 48 2 13
