Source Destination Bandwidth Latency
nb_commodities 50
18 22 1 10
17 30 1 13
21 33 2 13
36 2 1 10
8 4 1 18
32 2 1 12
18 42 2 6
3 16 2 7
10 21 3 13
48 46 1 13
27 36 1 10
35 18 1 7
42 9 2 18
1 39 3 10
15 35 1 6
18 37 2 13
16 28 3 9
26 7 3 12
46 45 2 10
49 24 3 15
12 36 2 13
0 33 2 10
43 20 3 13
16 10 3 12
39 10 3 9
35 21 1 9
46 31 1 10
0 15 2 12
34 8 3 12
36 41 3 15
30 5 3 12
36 41 2 15
6 41 1 12
49 35 2 9
12 43 2 9
36 17 1 13
34 15 2 9
30 0 1 10
46 32 2 10
39 28 2 10
45 14 3 9
5 20 1 10
8 46 3 13
3 8 2 13
10 12 1 12
46 26 1 12
0 16 2 7
7 38 2 10
8 42 2 18
45 16 2 10
