Source Destination Bandwidth Latency
nb_commodities 45
12 21 2 16
15 18 3 12
15 0 1 13
0 11 2 16
19 11 3 21
15 21 3 13
9 12 1 27
14 1 2 10
9 16 2 10
17 3 3 13
0 9 1 16
18 21 2 15
14 20 3 15
2 7 3 12
0 2 3 7
1 21 3 10
12 13 2 13
19 8 3 16
3 20 3 18
19 22 2 18
19 7 3 12
20 9 3 21
2 23 1 15
2 13 3 13
6 0 1 9
10 14 2 12
3 14 3 16
2 4 3 13
21 14 2 15
23 10 1 13
8 7 1 10
22 5 3 16
10 19 3 15
21 8 3 10
15 11 1 18
6 5 2 18
22 9 2 9
18 13 1 16
21 1 3 10
3 18 3 12
3 8 2 7
10 24 1 7
17 18 2 13
10 22 3 6
3 14 3 16
