Source Destination Bandwidth Latency
nb_commodities 50
47 25 1 3
24 2 2 6
27 14 3 6
41 48 3 6
38 40 3 4
10 12 2 4
6 49 3 7
39 36 3 9
20 25 1 4
42 16 1 6
17 28 1 7
16 36 3 9
14 9 2 7
36 44 1 10
39 36 2 9
16 5 2 10
6 34 3 7
34 6 1 7
8 36 1 10
32 17 3 7
48 36 2 10
4 10 3 6
0 9 3 7
2 5 1 10
18 29 1 9
31 8 1 7
45 3 2 4
40 25 2 4
21 30 2 6
37 2 3 4
44 15 1 9
17 7 3 7
19 42 3 6
6 43 2 7
21 9 3 6
28 14 3 4
4 33 2 7
18 45 2 6
3 48 1 6
43 33 3 6
27 5 1 9
7 1 2 7
21 10 1 6
47 17 1 7
35 25 3 4
24 25 3 6
46 47 3 4
41 40 1 3
46 34 3 9
16 47 1 4
