Source Destination Bandwidth Latency
nb_commodities 50
27 36 2 6
5 77 1 4
99 72 1 4
51 2 3 12
19 41 3 4
38 68 2 6
94 52 1 7
42 88 1 7
40 17 1 6
68 17 2 7
4 74 2 6
21 26 2 3
26 98 3 3
41 87 1 9
99 38 3 6
6 47 3 6
90 23 1 6
63 20 3 7
71 45 3 3
79 77 1 6
19 66 2 4
62 55 1 6
82 10 1 6
60 74 3 6
93 67 1 3
70 71 3 6
95 19 1 7
37 22 3 4
70 35 2 6
87 35 3 7
63 78 2 4
25 14 3 7
7 85 2 7
87 58 2 7
54 98 2 7
36 57 1 7
74 33 1 6
65 80 2 4
89 47 3 4
22 18 2 7
77 42 3 7
49 1 1 4
38 71 3 6
78 17 3 9
32 89 3 9
5 42 3 7
93 12 2 6
36 22 1 7
26 50 2 6
22 77 1 6
