Source Destination Bandwidth Latency
nb_commodities 50
6 4 3 13
11 15 2 16
11 1 1 15
22 3 1 6
22 13 1 7
23 2 1 13
13 16 1 7
8 20 1 19
2 16 3 13
15 13 3 3
22 7 3 13
1 12 3 12
2 5 3 12
11 2 2 15
12 11 1 15
11 18 3 6
19 24 2 15
13 0 3 12
22 20 2 16
0 18 1 15
5 21 1 16
0 17 3 25
24 17 3 21
22 16 2 12
22 1 1 12
8 4 3 7
15 12 2 4
5 24 3 21
19 5 1 7
24 7 3 22
12 7 2 19
5 14 2 15
17 10 1 22
6 23 2 16
20 18 1 16
17 7 3 25
23 12 3 12
13 22 2 7
20 9 1 15
15 1 3 7
24 4 2 10
8 20 1 19
23 9 1 10
20 1 3 13
16 7 3 19
6 4 2 13
11 12 3 15
11 14 1 10
19 5 3 7
15 23 1 7
