Node_1 Node_2 Capacity_node1 Capacity_node2 Latency_arc node_cost
nb_nodes 25
nb_arcs 528
0 2 5 11 9 517
0 3 5 2 2 517
0 5 5 10 24 517
0 6 5 6 16 517
0 7 5 4 24 517
0 8 5 7 10 517
0 9 5 11 8 517
0 10 5 4 12 517
0 11 5 9 24 517
0 12 5 11 15 517
0 13 5 9 9 517
0 14 5 6 25 517
0 17 5 6 18 517
0 18 5 2 17 517
0 19 5 8 9 517
0 20 5 8 16 517
0 21 5 2 24 517
0 22 5 11 8 517
0 23 5 4 18 517
0 24 5 5 21 517
1 2 9 11 7 391
1 3 9 2 16 391
1 4 9 8 18 391
1 5 9 10 17 391
1 6 9 6 20 391
1 7 9 4 23 391
1 8 9 7 2 391
1 9 9 11 11 391
1 10 9 4 13 391
1 11 9 9 20 391
1 12 9 11 11 391
1 13 9 9 25 391
1 14 9 6 14 391
1 15 9 9 23 391
1 16 9 3 4 391
1 18 9 2 8 391
1 19 9 8 6 391
1 20 9 8 14 391
1 21 9 2 1 391
1 22 9 11 17 391
1 23 9 4 15 391
1 24 9 5 20 391
2 0 11 5 9 319
2 1 11 9 7 319
2 4 11 8 9 319
2 5 11 10 20 319
2 6 11 6 25 319
2 7 11 4 18 319
2 8 11 7 6 319
2 9 11 11 12 319
2 10 11 4 8 319
2 11 11 9 12 319
2 13 11 9 13 319
2 14 11 6 20 319
2 15 11 9 3 319
2 16 11 3 10 319
2 17 11 6 16 319
2 18 11 2 10 319
2 20 11 8 17 319
2 21 11 2 12 319
2 22 11 11 10 319
2 23 11 4 6 319
2 24 11 5 17 319
3 0 2 5 2 134
3 1 2 9 16 134
3 5 2 10 14 134
3 6 2 6 20 134
3 7 2 4 3 134
3 8 2 7 9 134
3 9 2 11 20 134
3 11 2 9 18 134
3 12 2 11 11 134
3 13 2 9 12 134
3 14 2 6 21 134
3 15 2 9 20 134
3 16 2 3 22 134
3 17 2 6 16 134
3 18 2 2 15 134
3 19 2 8 10 134
3 20 2 8 9 134
