Source Destination Bandwidth Latency
nb_commodities 50
3 24 2 6
11 0 3 9
3 24 3 6
18 9 2 9
0 6 1 7
3 13 1 4
8 3 2 9
20 0 1 4
14 9 1 7
22 7 2 9
0 8 1 7
24 14 1 9
13 4 1 1
17 20 3 9
10 0 1 4
19 9 1 6
13 17 2 4
21 5 1 9
5 8 1 12
17 5 1 9
1 19 2 1
21 14 2 10
21 6 1 10
16 8 2 6
1 6 2 6
15 12 2 7
1 10 1 9
4 21 3 7
17 6 2 7
9 16 3 7
19 9 3 6
2 21 1 18
23 5 2 7
20 7 1 7
19 3 3 3
15 19 1 4
6 0 2 7
18 4 1 10
12 15 2 7
17 21 2 9
13 15 1 6
3 21 3 6
18 13 2 10
16 8 2 6
16 23 1 7
10 19 2 7
9 12 3 3
22 9 2 6
20 10 3 6
10 13 1 9
