Source Destination Bandwidth Latency
nb_commodities 50
11 18 1 7
3 5 3 4
2 0 3 12
1 19 2 13
16 19 2 7
16 19 1 7
7 15 1 7
17 8 1 9
16 5 2 9
12 16 3 6
19 17 2 9
22 8 1 15
5 3 2 4
20 4 2 10
22 18 1 12
9 12 3 7
13 12 2 12
18 4 1 10
17 12 2 7
0 2 1 12
8 2 3 12
19 2 1 12
10 15 1 7
0 22 3 9
0 14 2 1
10 16 3 4
7 3 2 12
7 22 2 6
2 21 1 12
3 19 3 10
19 7 3 10
0 19 1 3
20 15 2 1
12 14 3 3
0 10 1 3
8 17 2 9
2 13 1 9
17 6 3 6
15 21 1 10
11 14 1 6
13 15 3 7
24 10 1 10
17 19 2 9
4 10 2 7
1 16 2 9
19 6 3 6
10 1 1 10
18 21 3 4
22 23 1 7
12 6 2 4
