Node_1 Node_2 Capacity_node1 Capacity_node2 Latency_arc node_cost
nb_nodes 25
nb_arcs 548
0 1 5 15 20 366
0 2 5 16 8 366
0 3 5 13 13 366
0 4 5 2 16 366
0 6 5 11 17 366
0 7 5 14 24 366
0 8 5 19 15 366
0 9 5 5 13 366
0 10 5 4 18 366
0 11 5 15 3 366
0 12 5 10 1 366
0 13 5 6 24 366
0 14 5 17 1 366
0 15 5 2 17 366
0 16 5 17 3 366
0 17 5 13 14 366
0 18 5 10 2 366
0 19 5 13 17 366
0 20 5 6 21 366
0 21 5 10 5 366
0 22 5 6 11 366
0 23 5 15 5 366
0 24 5 13 25 366
1 0 15 5 20 187
1 3 15 13 8 187
1 4 15 2 2 187
1 5 15 13 4 187
1 6 15 11 11 187
1 7 15 14 25 187
1 8 15 19 7 187
1 9 15 5 11 187
1 10 15 4 17 187
1 11 15 15 20 187
1 12 15 10 22 187
1 13 15 6 2 187
1 14 15 17 10 187
1 15 15 2 7 187
1 16 15 17 11 187
1 17 15 13 25 187
1 18 15 10 5 187
1 19 15 13 21 187
1 20 15 6 8 187
1 21 15 10 20 187
1 23 15 15 2 187
1 24 15 13 14 187
2 0 16 5 8 349
2 3 16 13 25 349
2 4 16 2 21 349
2 5 16 13 5 349
2 6 16 11 8 349
2 7 16 14 16 349
2 8 16 19 11 349
2 9 16 5 10 349
2 10 16 4 8 349
2 11 16 15 19 349
2 12 16 10 8 349
2 13 16 6 6 349
2 14 16 17 15 349
2 15 16 2 1 349
2 16 16 17 13 349
2 17 16 13 11 349
2 19 16 13 8 349
2 20 16 6 17 349
2 21 16 10 20 349
2 22 16 6 20 349
2 23 16 15 3 349
2 24 16 13 20 349
3 0 13 5 13 170
3 1 13 15 8 170
3 2 13 16 25 170
3 4 13 2 3 170
3 5 13 13 6 170
3 6 13 11 24 170
3 7 13 14 9 170
3 8 13 19 21 170
3 9 13 5 18 170
3 10 13 4 10 170
3 11 13 15 21 170
3 12 13 10 25 170
3 13 13 6 12 170
3 14 13 17 15 170
3 15 13 2 12 170
3 16 13 17 5 170
3 17 13 13 2 170
3 18 13 10 22 170
3 19 13 13 9 170
3 20 13 6 15 170
3 21 13 10 3 170
3 22 13 6 14 170
3 23 13 15 9 170
4 0 2 5 16 631
4 1 2 15 2 631
4 2 2 16 21 631
4 3 2 13 3 631
4 5 2 13 7 631
4 6 2 11 3 631
4 7 2 14 23 631
4 8 2 19 16 631
4 9 2 5 6 631
4 11 2 15 19 631
4 12 2 10 21 631
4 13 2 6 14 631
4 14 2 17 8 631
4 15 2 2 11 631
4 16 2 17 22 631
4 17 2 13 19 631
4 18 2 10 21 631
4 19 2 13 17 631
4 20 2 6 19 631
4 21 2 10 6 631
4 23 2 15 13 631
4 24 2 13 20 631
5 1 13 15 4 477
5 2 13 16 5 477
5 3 13 13 6 477
5 4 13 2 7 477
5 6 13 11 19 477
5 8 13 19 12 477
5 9 13 5 23 477
5 11 13 15 6 477
5 12 13 10 23 477
5 13 13 6 22 477
5 14 13 17 2 477
5 15 13 2 24 477
5 16 13 17 18 477
5 17 13 13 1 477
5 18 13 10 8 477
5 19 13 13 23 477
5 20 13 6 14 477
5 21 13 10 19 477
5 22 13 6 7 477
5 23 13 15 5 477
5 24 13 13 17 477
6 0 11 5 17 519
6 1 11 15 11 519
6 2 11 16 8 519
6 3 11 13 24 519
6 4 11 2 3 519
6 5 11 13 19 519
6 7 11 14 20 519
6 8 11 19 2 519
6 10 11 4 2 519
6 11 11 15 13 519
6 12 11 10 5 519
6 13 11 6 23 519
6 14 11 17 1 519
6 15 11 2 16 519
6 16 11 17 4 519
6 17 11 13 16 519
6 19 11 13 7 519
6 20 11 6 4 519
6 21 11 10 17 519
6 22 11 6 11 519
6 23 11 15 13 519
6 24 11 13 12 519
7 0 14 5 24 53
7 1 14 15 25 53
7 2 14 16 16 53
7 3 14 13 9 53
7 4 14 2 23 53
7 6 14 11 20 53
7 8 14 19 13 53
7 9 14 5 19 53
7 10 14 4 17 53
7 11 14 15 13 53
7 12 14 10 6 53
7 13 14 6 5 53
7 14 14 17 15 53
7 15 14 2 13 53
7 16 14 17 8 53
7 17 14 13 21 53
7 18 14 10 20 53
7 19 14 13 11 53
7 20 14 6 4 53
7 21 14 10 22 53
7 22 14 6 4 53
7 23 14 15 1 53
7 24 14 13 3 53
8 0 19 5 15 875
8 1 19 15 7 875
8 2 19 16 11 875
8 3 19 13 21 875
8 4 19 2 16 875
8 5 19 13 12 875
8 6 19 11 2 875
8 7 19 14 13 875
8 10 19 4 14 875
8 11 19 15 23 875
8 12 19 10 4 875
8 13 19 6 22 875
8 14 19 17 14 875
8 15 19 2 9 875
8 17 19 13 12 875
8 18 19 10 12 875
8 19 19 13 12 875
8 20 19 6 17 875
8 21 19 10 12 875
8 22 19 6 16 875
8 23 19 15 15 875
8 24 19 13 18 875
9 0 5 5 13 873
9 1 5 15 11 873
9 2 5 16 10 873
9 3 5 13 18 873
9 4 5 2 6 873
9 5 5 13 23 873
9 7 5 14 19 873
9 10 5 4 2 873
9 11 5 15 5 873
9 12 5 10 12 873
9 13 5 6 3 873
9 14 5 17 24 873
9 15 5 2 5 873
9 16 5 17 1 873
9 17 5 13 15 873
9 18 5 10 20 873
9 19 5 13 17 873
9 20 5 6 12 873
9 21 5 10 5 873
9 22 5 6 12 873
9 23 5 15 24 873
10 0 4 5 18 307
10 1 4 15 17 307
10 2 4 16 8 307
10 3 4 13 10 307
10 6 4 11 2 307
10 7 4 14 17 307
10 8 4 19 14 307
10 9 4 5 2 307
10 11 4 15 5 307
10 12 4 10 17 307
10 13 4 6 19 307
10 14 4 17 1 307
10 15 4 2 5 307
10 16 4 17 21 307
10 17 4 13 12 307
10 18 4 10 14 307
10 19 4 13 10 307
10 20 4 6 12 307
10 21 4 10 4 307
10 22 4 6 10 307
10 23 4 15 9 307
10 24 4 13 22 307
11 0 15 5 3 930
11 1 15 15 20 930
11 2 15 16 19 930
11 3 15 13 21 930
11 4 15 2 19 930
11 5 15 13 6 930
11 6 15 11 13 930
11 7 15 14 13 930
11 8 15 19 23 930
11 9 15 5 5 930
11 10 15 4 5 930
11 13 15 6 6 930
11 15 15 2 18 930
11 16 15 17 4 930
11 17 15 13 4 930
11 18 15 10 18 930
11 20 15 6 17 930
11 21 15 10 11 930
11 22 15 6 3 930
11 23 15 15 24 930
11 24 15 13 17 930
12 0 10 5 1 84
12 1 10 15 22 84
12 2 10 16 8 84
12 3 10 13 25 84
12 4 10 2 21 84
12 5 10 13 23 84
12 6 10 11 5 84
12 7 10 14 6 84
12 8 10 19 4 84
12 9 10 5 12 84
12 10 10 4 17 84
12 13 10 6 16 84
12 14 10 17 12 84
12 15 10 2 15 84
12 16 10 17 10 84
12 17 10 13 12 84
12 18 10 10 15 84
12 19 10 13 1 84
12 21 10 10 17 84
12 23 10 15 10 84
12 24 10 13 4 84
13 0 6 5 24 264
13 1 6 15 2 264
13 2 6 16 6 264
13 3 6 13 12 264
13 4 6 2 14 264
13 5 6 13 22 264
13 6 6 11 23 264
13 7 6 14 5 264
13 8 6 19 22 264
13 9 6 5 3 264
13 10 6 4 19 264
13 11 6 15 6 264
13 12 6 10 16 264
13 14 6 17 20 264
13 15 6 2 5 264
13 16 6 17 17 264
13 17 6 13 17 264
13 18 6 10 17 264
13 20 6 6 15 264
13 21 6 10 8 264
13 22 6 6 5 264
13 23 6 15 12 264
13 24 6 13 5 264
14 0 17 5 1 355
14 1 17 15 10 355
14 2 17 16 15 355
14 3 17 13 15 355
14 4 17 2 8 355
14 5 17 13 2 355
14 6 17 11 1 355
14 7 17 14 15 355
14 8 17 19 14 355
14 9 17 5 24 355
14 10 17 4 1 355
14 12 17 10 12 355
14 13 17 6 20 355
14 16 17 17 14 355
14 17 17 13 7 355
14 18 17 10 19 355
14 19 17 13 21 355
14 20 17 6 17 355
14 21 17 10 1 355
14 22 17 6 14 355
14 23 17 15 16 355
14 24 17 13 22 355
15 0 2 5 17 618
15 1 2 15 7 618
15 2 2 16 1 618
15 3 2 13 12 618
15 4 2 2 11 618
15 5 2 13 24 618
15 6 2 11 16 618
15 7 2 14 13 618
15 8 2 19 9 618
15 9 2 5 5 618
15 10 2 4 5 618
15 11 2 15 18 618
15 12 2 10 15 618
15 13 2 6 5 618
15 16 2 17 25 618
15 17 2 13 15 618
15 18 2 10 23 618
15 19 2 13 18 618
15 20 2 6 1 618
15 21 2 10 11 618
15 22 2 6 10 618
15 23 2 15 22 618
15 24 2 13 19 618
16 0 17 5 3 399
16 1 17 15 11 399
16 2 17 16 13 399
16 3 17 13 5 399
16 4 17 2 22 399
16 5 17 13 18 399
16 6 17 11 4 399
16 7 17 14 8 399
16 9 17 5 1 399
16 10 17 4 21 399
16 11 17 15 4 399
16 12 17 10 10 399
16 13 17 6 17 399
16 14 17 17 14 399
16 15 17 2 25 399
16 19 17 13 23 399
16 20 17 6 20 399
16 21 17 10 5 399
16 22 17 6 17 399
16 23 17 15 18 399
16 24 17 13 19 399
17 0 13 5 14 977
17 1 13 15 25 977
17 2 13 16 11 977
17 3 13 13 2 977
17 4 13 2 19 977
17 5 13 13 1 977
17 6 13 11 16 977
17 7 13 14 21 977
17 8 13 19 12 977
17 9 13 5 15 977
17 10 13 4 12 977
17 11 13 15 4 977
17 12 13 10 12 977
17 13 13 6 17 977
17 14 13 17 7 977
17 15 13 2 15 977
