Source Destination Bandwidth Latency
nb_commodities 50
7 12 2 3
17 3 3 4
23 19 2 7
15 10 3 9
7 19 2 15
16 8 2 10
21 8 2 10
13 3 3 12
4 18 3 15
17 20 2 15
3 24 3 10
11 18 2 21
23 13 3 15
9 24 2 13
7 1 2 15
19 3 1 9
17 12 2 7
1 10 3 15
15 13 1 9
15 12 2 12
6 17 3 13
7 5 3 16
20 21 2 16
24 5 2 15
7 21 3 7
24 17 1 9
12 10 2 12
7 9 3 13
11 4 2 15
13 3 2 12
22 18 3 19
7 17 2 10
11 19 2 15
17 20 3 15
11 23 1 19
7 5 3 16
15 11 1 9
3 4 2 9
13 6 3 9
2 0 1 16
21 12 2 4
22 16 1 6
6 23 1 13
9 0 3 7
12 18 1 12
19 24 1 13
8 1 1 12
1 16 2 10
5 18 1 15
14 24 2 18
