Source Destination Bandwidth Latency
nb_commodities 50
17 18 2 13
16 21 1 4
14 17 1 15
3 9 3 13
17 9 2 12
15 23 2 9
18 1 3 7
12 15 1 7
23 13 2 12
22 9 3 12
13 12 2 7
0 18 1 12
12 18 3 9
24 1 3 10
7 14 1 13
23 4 3 10
6 5 1 4
9 3 1 13
22 7 2 4
16 20 2 9
23 19 1 15
1 0 1 7
21 9 3 9
16 15 3 6
24 23 2 13
9 19 1 15
17 21 3 10
21 12 2 10
5 16 2 7
9 15 2 7
17 19 2 18
18 16 1 10
7 16 2 6
13 1 1 9
2 4 3 10
18 11 2 6
6 22 1 7
18 10 2 9
0 7 1 7
21 4 3 4
18 22 2 12
23 22 2 7
24 11 1 7
23 14 2 15
10 15 2 12
8 4 1 10
13 23 1 12
8 24 1 15
11 8 1 12
17 0 2 10
