Source Destination Bandwidth Latency
nb_commodities 50
41 19 3 6
37 35 2 12
18 47 2 10
25 29 3 4
29 49 1 9
28 13 1 9
48 14 2 9
32 13 3 9
18 41 3 9
32 49 3 7
36 13 1 6
36 26 1 9
6 45 3 6
39 34 1 9
39 25 1 3
28 20 1 6
26 22 3 9
6 10 3 10
16 29 1 10
45 37 1 7
34 0 3 15
7 5 3 9
21 16 3 13
48 11 2 3
37 27 2 10
4 27 2 9
34 6 2 7
8 7 2 7
42 29 1 10
29 36 2 9
32 38 1 10
32 29 2 9
6 31 2 9
2 11 3 7
31 29 2 7
13 10 1 12
5 3 1 6
36 41 2 3
15 41 2 10
26 37 1 10
28 35 2 10
22 39 2 4
31 26 3 9
9 37 1 9
30 13 3 7
35 12 3 9
13 12 1 9
8 46 3 6
26 0 2 15
8 19 1 4
