Source Destination Bandwidth Latency
nb_commodities 50
34 6 2 4
38 34 3 4
9 30 1 6
18 7 1 6
4 31 1 10
12 11 2 7
46 47 1 4
14 21 2 3
28 6 3 4
16 32 3 9
48 25 2 9
0 36 3 4
28 30 2 7
27 21 2 7
43 29 2 6
28 21 3 4
28 9 1 6
25 12 3 9
43 1 1 1
14 31 1 6
12 2 1 7
33 15 2 6
32 8 2 6
8 37 2 4
14 47 2 6
37 45 2 6
16 14 2 7
25 33 2 7
30 41 3 9
8 20 1 7
15 8 3 3
15 31 2 7
25 28 2 7
40 36 3 4
2 48 1 6
30 39 3 7
19 7 2 4
35 40 3 6
48 21 1 9
47 41 1 9
27 25 1 6
48 35 3 7
20 38 1 4
46 23 2 4
12 34 1 4
2 34 2 6
8 37 3 4
36 21 3 7
6 41 1 7
11 16 3 4
